oracle_id,name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,legalities_commander,legalities_standard,legalities_modern,scryfall_id
48a773d0-c433-4463-b50f-b6d4604a042c,"Abigale, Eloquent First-Year",{W/B}{W/B},2.0,Legendary Creature — Bird Bard,"Flying, first strike, lifelink
When Abigale enters, up to one other target creature loses all abilities. Put a flying counter, a first strike counter, and a lifelink counter on that creature.",BW,BW,legal,legal,legal,bf708169-a307-494b-b8d8-baae53b2e2f2
edbf1b87-2d1e-47e6-a04e-a2b1646af7d9,Abnormal Endurance,{1}{B},2.0,Instant,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""",B,B,legal,not_legal,legal,de2de2bd-9ba7-4b6f-94c2-dafb2011a48e
e8ebf5cb-3a26-4bbd-812b-414c129e4bb7,Abstruse Interference,{2}{U},3.0,Instant,"Devoid (This card has no color.)
Counter target spell unless its controller pays {1}. You create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this token: Add {C}."" ({C} represents colorless mana.)",,U,legal,not_legal,legal,249a7be3-311e-4ce6-97dc-97242463ae23
eccc9a54-2b56-4a02-9926-258d5b2e25fb,Abundance,{2}{G}{G},4.0,Enchantment,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",G,G,legal,not_legal,legal,7f3fff7e-f34d-4a99-a805-bd66c4e9f0cb
947a2665-2f4d-4193-8768-118f85334549,Abundant Growth,{G},1.0,Enchantment — Aura,"Enchant land
When this Aura enters, draw a card.
Enchanted land has ""{T}: Add one mana of any color.""",G,G,legal,not_legal,legal,1a05b2f6-a6b3-4e30-904b-0dc85d124ef8
e7b2f844-2ba2-4465-bb80-358a4d915f36,Abzan Advantage,{1}{W},2.0,Instant,Target player sacrifices an enchantment of their choice. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.),W,W,legal,not_legal,legal,3ffd46f5-afd1-4130-b019-d8822e61fdfa
85b2fb89-5ebe-4c13-bc12-38d1417e5880,Abzan Guide,{3}{W}{B}{G},6.0,Creature — Human Warrior,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Morph {2}{W}{B}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",BGW,BGW,legal,not_legal,legal,1b7f7158-4a31-4a1c-bf3b-574c0b09276a
866fc4b9-f661-444b-b7fd-929814dbc69d,Abzan Skycaptain,{3}{W},4.0,Creature — Bird Soldier,"Flying
When this creature dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)",W,W,legal,not_legal,legal,c4195373-e902-4fc3-aead-1f6e728dbbae
b400700c-1d82-4721-a166-56f88ba6ad19,Academy Journeymage,{4}{U},5.0,Creature — Human Wizard,"This spell costs {1} less to cast if you control a Wizard.
When this creature enters, return target creature an opponent controls to its owner's hand.",U,U,legal,not_legal,legal,a46a65e0-66a3-4896-8acc-0ad5e9927c40
21f45043-5419-4019-8b6c-e5294bd5f549,Acidic Slime,{3}{G}{G},5.0,Creature — Ooze,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When this creature enters, destroy target artifact, enchantment, or land.",G,G,legal,not_legal,legal,2a6d791f-11c1-44ce-8084-591250b9f802
944689b2-f9f7-45c3-952c-54287b9824d5,Acolyte's Reward,{1}{W},2.0,Instant,"Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to any target. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)",W,W,legal,not_legal,legal,cd8980af-c3fa-4027-917a-4a3d441c0a75
9d08af23-9f4a-4097-9abc-3b17475ab744,Act of Treason,{2}{R},3.0,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.),R,R,legal,not_legal,legal,20234668-53ce-4cc8-892f-30ee3ecfc34c
5bf49f39-b3d5-4148-8dc2-b5b5011769d2,Adventurous Impulse,{G},1.0,Sorcery,Look at the top three cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.,G,G,legal,not_legal,legal,f426c92c-6e71-49f0-9a91-0d529bf8c17d
7a5a81f7-1597-4972-8565-fd2a5667df99,Adverse Conditions,{3}{U},4.0,Instant,"Devoid (This card has no color.)
Tap up to two target creatures. Those creatures don't untap during their controller's next untap step. Create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this token: Add {C}.""",,U,legal,not_legal,legal,03d86e0b-294f-41b8-a5cd-d3144a019334
5902e074-7154-4fc7-8776-b87e8b1925e7,Aegis Angel,{4}{W}{W},6.0,Creature — Angel,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When this creature enters, another target permanent gains indestructible for as long as you control this creature. (Effects that say ""destroy"" don't destroy it. A creature with indestructible can't be destroyed by damage.)",W,W,legal,not_legal,legal,44a93838-caea-41da-bf00-163b40cfb758
727f4734-53cc-4279-ba51-dfa26c4ceb1d,Aegis Automaton,{2},2.0,Artifact Creature — Construct,{4}{W}: Return another target creature you control to its owner's hand.,,W,legal,not_legal,legal,e5f9fa2d-4bf4-4fcb-9b76-fd4a9ff5a58c
a4eb06ca-16d8-41c2-8fc6-22e73872b5b0,Aerial Assault,{2}{W},3.0,Sorcery,Destroy target tapped creature. You gain 1 life for each creature you control with flying.,W,W,legal,not_legal,legal,64d9c182-cbb3-4791-90dd-0e533ddeebda
b0168b7e-a8b8-4ce3-af12-a43f3818b6a1,Aerial Formation,{U},1.0,Instant,"Strive — This spell costs {2}{U} more to cast for each target beyond the first.
Any number of target creatures each get +1/+1 and gain flying until end of turn.",U,U,legal,not_legal,legal,fce86785-bc03-451e-8422-8bb53082cc12
b56c0846-e465-4251-93ea-2e3e7be8dffc,Aerial Guide,{2}{U},3.0,Creature — Drake,"Flying
Whenever this creature attacks, another target attacking creature gains flying until end of turn.",U,U,legal,not_legal,legal,b744c138-9b9e-47f6-9d56-feb6a78ce377
a0cd19c1-9125-4627-83ba-d42c489b4e7d,Aeromunculus,{1}{G}{U},3.0,Creature — Homunculus Mutant,"Flying
{2}{G}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)",GU,GU,legal,not_legal,legal,671c94c1-df52-4985-ad78-3e1c9c78df18
61c89b11-65c9-4fda-bbcd-d84de25df801,Aether Hub,,0.0,Land,"When this land enters, you get {E} (an energy counter).
{T}: Add {C}.
{T}, Pay {E}: Add one mana of any color.",,,legal,not_legal,legal,25ea04d8-5d85-49d3-8d8d-7fe123d0ed6c
3a0dd318-9523-4740-b0aa-a911032e3851,Aether Tradewinds,{2}{U},3.0,Instant,Return target permanent you control and target permanent you don't control to their owners' hands.,U,U,legal,not_legal,legal,26fe4768-fe18-4698-885d-86f5ad150125
8517e5f4-89c5-4879-9b4f-b35e268798df,Aetherstream Leopard,{2}{G},3.0,Creature — Cat,"Trample
When this creature enters, you get {E} (an energy counter).
Whenever this creature attacks, you may pay {E}. If you do, it gets +2/+0 until end of turn.",G,G,legal,not_legal,legal,6f3a727a-5eca-44de-aa8f-0d2573db83eb
5b38a1e4-a6af-4094-9392-70a87759e20d,Affa Protector,{2}{W},3.0,Creature — Human Soldier Ally,Vigilance,W,W,legal,not_legal,legal,0e54ac79-fbaa-4385-869b-aaf31e33a11f
032b5fc4-5aca-41b6-9bf6-2c1ed0018968,Aggressive Mammoth,{3}{G}{G}{G},6.0,Creature — Elephant,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Other creatures you control have trample.",G,G,legal,legal,legal,323f3c76-5e79-43e6-ae78-f555810edbc3
11669fe5-9298-4e1a-a4f7-6a4598dbc8dd,Agonizing Syphon,{3}{B},4.0,Sorcery,Agonizing Syphon deals 3 damage to any target and you gain 3 life.,B,B,legal,not_legal,legal,0d8efd95-1c2f-4dd1-b70b-3cfb10ff3a28
d7d163a7-6f3f-40ab-a47c-ed497df92244,Ahn-Crop Invader,{2}{R},3.0,Creature — Zombie Minotaur Warrior,"During your turn, this creature has first strike.
{1}, Sacrifice another creature: This creature gets +2/+0 until end of turn.",R,R,legal,not_legal,legal,2dea2466-5c7f-40ce-b749-100ae89d2c90
c169929a-850b-4d46-9f14-a922f4465d85,Aim High,{1}{G},2.0,Instant,Untap target creature. It gets +2/+2 and gains reach until end of turn.,G,G,legal,not_legal,legal,98cd33cc-df39-4db1-a4a0-09756ec8372c
8a4028cd-6004-4fb0-a044-0bee662a78e1,Ainok Bond-Kin,{1}{W},2.0,Creature — Dog Soldier,"Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has first strike.",W,W,legal,not_legal,legal,22d2a844-17fc-4628-9591-684555e98f7b
e5f96482-4bae-4d1b-97b2-dcc09676eb6e,Ainok Guide,{1}{G},2.0,Creature — Dog Scout,"When this creature enters, choose one —
• Put a +1/+1 counter on this creature.
• Search your library for a basic land card, reveal it, then shuffle and put that card on top.",G,G,legal,not_legal,legal,c361ea9c-a989-4ded-8b2c-f565aa9d8a1d
bf84a598-12d3-406d-8eeb-40592e782b87,Ainok Tracker,{5}{R},6.0,Creature — Dog Scout,"First strike
Morph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",R,R,legal,not_legal,legal,0ff9400d-4842-471f-bf7e-3b21df352e0a
49638d96-e83e-4aab-bafb-d6183a6e3ff6,Air Servant,{4}{U},5.0,Creature — Elemental,"Flying
{2}{U}: Tap target creature with flying.",U,U,legal,not_legal,legal,01007d7f-e29b-49d5-bc60-44b2fb77ed3d
95e94dea-5ac0-4d6f-adec-ca147aee861f,Ajani's Pridemate,{1}{W},2.0,Creature — Cat Soldier,"Whenever you gain life, put a +1/+1 counter on this creature.",W,W,legal,legal,legal,2f717e04-c078-4696-9ed6-e973033d7be0
4b4c76e1-c480-4d10-93d4-483ef2debc4b,Akki Ronin,{1}{R},2.0,Creature — Goblin Samurai,"Whenever a Samurai or Warrior you control attacks alone, you may discard a card. If you do, draw a card.",R,R,legal,not_legal,legal,fa16ee8e-d33a-40e9-9956-e345f0511819
efae637f-3232-46f2-9839-f3386e2f447d,Akoum Flameseeker,{2}{R},3.0,Creature — Human Shaman Ally,"Cohort — {T}, Tap an untapped Ally you control: Discard a card. If you do, draw a card.",R,R,legal,not_legal,legal,6ef4e1e2-7961-47d2-bb55-9168ea201214
6039b9b7-e49a-4ea3-887c-a17dd502d63f,Akroan Mastiff,{3}{W},4.0,Creature — Dog,"{W}, {T}: Tap target creature.",W,W,legal,not_legal,legal,7e21938b-46b1-4b2f-8269-0cd0e998cddc
fb9af562-7384-4575-93bb-34f1ada23735,Alley Strangler,{2}{B},3.0,Creature — Aetherborn Rogue,Menace,B,B,legal,not_legal,legal,a131d558-5f6b-448b-a378-1882e2d02bd2
2baf2ee6-e290-4a2b-89a0-0e725edde06d,Allied Reinforcements,{3}{W},4.0,Sorcery,Create two 2/2 white Knight Ally creature tokens.,W,W,legal,not_legal,legal,fd7d7c93-5622-45ca-9359-110685d9162c
278e51fe-3cd9-4c82-bd81-2164771f8611,Alms Collector,{3}{W},4.0,Creature — Cat Cleric,"Flash
If an opponent would draw two or more cards, instead you and that player each draw a card.",W,W,legal,not_legal,not_legal,9fe88f96-fd3a-44e5-aa05-3bc63581e33d
4045c24e-098f-4582-8c50-576a94c7b705,Ambassador Oak,{3}{G},4.0,Creature — Treefolk Warrior,"When this creature enters, create a 1/1 green Elf Warrior creature token.",G,G,legal,not_legal,legal,a064f5e2-20b2-47a1-b3f3-78f077d71ec7
84de4fec-2f38-4293-93d3-b3882c5aac14,Ambition's Cost,{3}{B},4.0,Sorcery,You draw three cards and you lose 3 life.,B,B,legal,not_legal,legal,baed5a5d-ea54-4cf7-873e-627e2c728547
c2f6ddc2-86bc-43da-9bdd-0c2af79c62fd,Ammit Eternal,{2}{B},3.0,Creature — Zombie Crocodile Demon,"Afflict 3 (Whenever this creature becomes blocked, defending player loses 3 life.)
Whenever an opponent casts a spell, put a -1/-1 counter on this creature.
Whenever this creature deals combat damage to a player, remove all -1/-1 counters from it.",B,B,legal,not_legal,legal,436c2fd0-131c-48e4-8959-896cfdba5c36
6bab6d0a-cd06-45e3-b780-d5354ee2a032,Ancient Crab,{1}{U}{U},3.0,Creature — Crab,,U,U,legal,not_legal,legal,783794e3-fe0c-4014-ae5a-6c249af23ddc
6f053f0d-c9c7-4fcd-b218-a29d1d080104,Ancient Vendetta,{3}{B},4.0,Sorcery,"Choose a card name. Search target opponent's graveyard, hand, and library for up to four cards with that name and exile them. Then that player shuffles.",B,B,legal,legal,legal,230301f2-f288-4b13-9f62-e649ad8357bb
48d14b5c-711a-4f8a-9de5-55415cb7a79a,Angel of Finality,{3}{W},4.0,Creature — Angel,"Flying
When this creature enters, exile target player's graveyard.",W,W,legal,legal,legal,c3dc3acf-ec09-4c24-ade6-6f4dd30bd0a8
e5e04968-d9b7-4bd5-b826-be9502360cd3,Angelic Gift,{1}{W},2.0,Enchantment — Aura,"Enchant creature
When this Aura enters, draw a card.
Enchanted creature has flying.",W,W,legal,not_legal,legal,35100197-7914-450e-9205-57cb4fc345d6
eaabd151-2160-4bff-82c0-3fa88659be98,Anger,{3}{R},4.0,Creature — Incarnation,"Haste
As long as this card is in your graveyard and you control a Mountain, creatures you control have haste.",R,R,legal,not_legal,not_legal,0c7ce363-3f57-49ed-b89a-f12bb5227ab4
5212f0a8-7341-4960-835b-2f4600ca1b2d,Anointed Deacon,{4}{B},5.0,Creature — Vampire Cleric,"At the beginning of combat on your turn, you may have target Vampire get +2/+0 until end of turn.",B,B,legal,not_legal,legal,9bae5e75-0048-41fd-8bbb-89607ab96d6e
